epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,513.542,1.01377,0.59359,1.08852,0.98541,0.98752,0.99485,0.81002,0.74267,0.39377,0.97557,0.0004155,0.0004155,0.0004155
93,518.823,0.91353,0.57749,1.00669,0.98863,0.98602,0.9949,0.83146,0.69,0.37795,0.94592,0.000401747,0.000401747,0.000401747
94,524.557,0.91795,0.54865,1.02543,0.9848,0.9802,0.99413,0.80056,0.73937,0.38947,0.96169,0.000387994,0.000387994,0.000387994
95,529.847,0.78268,0.74158,0.91014,0.98656,0.97969,0.99423,0.80378,0.75227,0.38611,0.96716,0.000374242,0.000374242,0.000374242
96,535.154,0.93557,0.5571,1.04905,0.98798,0.98515,0.99461,0.81714,0.71378,0.3756,0.94371,0.000360489,0.000360489,0.000360489
97,540.438,0.93086,0.54542,1.03675,0.98784,0.9901,0.99466,0.83065,0.66676,0.36686,0.93269,0.000346736,0.000346736,0.000346736
98,545.748,0.87108,0.53667,1.01358,0.99705,0.9901,0.99481,0.83391,0.6536,0.36359,0.93123,0.000332983,0.000332983,0.000332983
99,551.458,0.84508,0.53265,0.99224,0.98961,0.9901,0.9948,0.8359,0.66168,0.36381,0.93518,0.000319231,0.000319231,0.000319231
100,557.185,0.80711,0.53783,0.99656,0.98388,0.99508,0.9948,0.83993,0.62359,0.35414,0.92089,0.000305478,0.000305478,0.000305478
101,562.93,0.90616,0.58,1.06226,0.98322,1,0.99475,0.85458,0.59654,0.3491,0.90768,0.000291725,0.000291725,0.000291725
102,568.646,0.78642,0.50018,1.0053,0.99846,0.98886,0.99495,0.85283,0.5909,0.35343,0.9039,0.000277972,0.000277972,0.000277972
103,573.946,0.86001,0.53859,1.00118,0.99845,0.9891,0.99495,0.84424,0.62392,0.35744,0.91002,0.00026422,0.00026422,0.00026422
104,579.254,0.83877,0.52177,0.96809,0.99729,0.99505,0.995,0.86073,0.58495,0.3512,0.90058,0.000250467,0.000250467,0.000250467
105,584.987,0.85935,0.51964,1.03116,0.99674,0.99505,0.995,0.86009,0.58674,0.34926,0.90328,0.000236714,0.000236714,0.000236714
106,590.312,0.81663,0.51541,1.01292,0.99424,0.9989,0.995,0.86165,0.58029,0.34669,0.89888,0.000222961,0.000222961,0.000222961
107,596.041,0.90845,0.59267,1.02087,0.99726,0.99451,0.995,0.8565,0.59652,0.3495,0.90217,0.000209209,0.000209209,0.000209209
108,601.368,0.78258,0.51256,0.98662,0.99095,0.99919,0.995,0.86193,0.55332,0.33582,0.89175,0.000195456,0.000195456,0.000195456
109,607.161,0.79947,0.50361,0.98595,0.99719,0.99911,0.995,0.86388,0.55299,0.3323,0.89075,0.000181703,0.000181703,0.000181703
110,612.911,0.78703,0.54611,0.98785,0.99844,0.99452,0.995,0.87667,0.54287,0.32635,0.8856,0.00016795,0.00016795,0.00016795
111,619.226,0.7662,0.5424,0.96516,0.99317,0.99319,0.9949,0.87479,0.54914,0.32669,0.88799,0.000154198,0.000154198,0.000154198
112,624.562,0.75107,0.46834,0.96711,0.98747,1,0.99481,0.86099,0.5709,0.33733,0.89439,0.000140445,0.000140445,0.000140445
113,629.838,0.72204,0.47518,0.96341,0.98728,1,0.9949,0.8592,0.58265,0.34146,0.89715,0.000126692,0.000126692,0.000126692
114,635.129,0.72074,0.45217,0.95374,0.99268,0.99972,0.995,0.86751,0.58301,0.34214,0.89577,0.000112939,0.000112939,0.000112939
115,640.406,0.68824,0.43217,0.95859,0.99288,0.99582,0.995,0.85899,0.58924,0.34117,0.8977,9.91865e-05,9.91865e-05,9.91865e-05
116,645.71,0.67666,0.41543,0.94831,0.99599,1,0.995,0.85055,0.60489,0.34203,0.90368,8.54337e-05,8.54337e-05,8.54337e-05
117,650.997,0.68384,0.42653,0.95059,0.9953,1,0.995,0.85654,0.59219,0.33832,0.89929,7.1681e-05,7.1681e-05,7.1681e-05
118,656.289,0.68915,0.43121,0.91948,0.99615,1,0.995,0.86865,0.56174,0.33118,0.88821,5.79283e-05,5.79283e-05,5.79283e-05
119,661.554,0.64813,0.41772,0.94016,0.998,0.99931,0.995,0.86807,0.55644,0.33067,0.8863,4.41755e-05,4.41755e-05,4.41755e-05
120,666.846,0.65403,0.42785,0.95531,0.99803,0.99889,0.995,0.86922,0.55062,0.3291,0.8837,3.04227e-05,3.04227e-05,3.04227e-05
